time,u10,v10,u100,v100
2024-01-02 15:00:00,-0.13102722,-3.3708801,0.28663635,-6.5513306
2024-01-02 16:00:00,-0.11903381,-3.585434,0.4318695,-6.78096
2024-01-02 17:00:00,0.15473938,-3.6764374,0.94924927,-6.771927
2024-01-02 18:00:00,0.5322113,-3.2250824,1.5626526,-6.05571
2024-01-02 19:00:00,0.77653503,-2.440506,2.0134583,-4.7346954
2024-01-02 20:00:00,1.1685028,-1.9966278,2.6587524,-3.4255676
2024-01-02 21:00:00,1.460022,-1.0601349,2.345108,-1.5282898
2024-01-02 22:00:00,1.3891602,-0.16647339,2.0811462,-0.15438843
2024-01-02 23:00:00,0.98698425,0.46766663,1.3739624,0.7546387
2024-01-03 00:00:00,0.37286377,0.25479126,0.50260925,0.41125488
2024-01-03 01:00:00,0.15045166,-0.31492615,0.31777954,-0.33810425
2024-01-03 02:00:00,0.027404785,-0.25065613,0.17346191,-0.31072998
2024-01-03 03:00:00,-0.9177246,-0.5754242,-1.2255402,-0.7998352
2024-01-03 04:00:00,-1.370758,-0.9780884,-1.6243134,-1.3423004
2024-01-03 05:00:00,-1.5180511,-0.09849548,-2.0669098,-0.32281494
2024-01-03 06:00:00,-1.4937744,0.2604065,-2.0442657,0.2312622
2024-01-03 07:00:00,-1.5003967,0.19578552,-2.161728,0.25335693
2024-01-03 08:00:00,-0.66893005,-0.28230286,-1.0542908,-0.41690063
2024-01-03 09:00:00,-0.3575287,-0.1253357,-0.3173828,-0.41897583
2024-01-03 10:00:00,-0.22990417,1.1873779,-0.38542175,2.858963
2024-01-03 11:00:00,-1.1886444,0.17784119,-1.6843414,1.0793762
2024-01-03 12:00:00,-0.99539185,-0.97247314,-1.6898956,-0.6387329
2024-01-03 13:00:00,0.009460449,-1.1197052,-0.70274353,-1.1909943
2024-01-03 14:00:00,0.3688507,-0.67837524,0.3283844,-1.5194855
2024-01-03 15:00:00,0.86753845,-0.47932434,1.5753174,-1.4835815
2024-01-03 16:00:00,0.7113342,0.33232117,1.6309814,0.08718872
2024-01-03 17:00:00,0.5823517,1.0004425,1.082428,1.630249
2024-01-03 18:00:00,0.29559326,1.5234375,0.14213562,2.814331
2024-01-03 19:00:00,0.57299805,1.6959991,0.047027588,3.2435455
2024-01-03 20:00:00,0.10638428,2.2498322,-0.24371338,4.002884
2024-01-03 21:00:00,0.25035095,2.3495483,0.1508789,4.1597443
2024-01-03 22:00:00,1.2322998,3.7389832,1.7638855,5.863861
2024-01-03 23:00:00,1.4006348,3.97966,2.0280304,5.8447723
2024-01-04 00:00:00,0.42085266,3.6180115,0.56962585,5.096756
2024-01-04 01:00:00,0.21505737,3.546112,0.38363647,5.02536
2024-01-04 02:00:00,-0.23266602,3.5087585,-0.21875,4.8410187
2024-01-04 03:00:00,-1.1405792,3.5626678,-1.5697021,4.8506165
2024-01-04 04:00:00,-1.5682678,3.5714111,-2.168991,4.8972473
2024-01-04 05:00:00,-2.3166504,3.7069092,-3.3652344,5.1529236
2024-01-04 06:00:00,-3.2557983,3.4887695,-4.71463,4.967743
2024-01-04 07:00:00,-3.765091,2.9295654,-5.5028687,4.2355347
2024-01-04 08:00:00,-4.053604,2.243866,-6.054779,3.3599854
2024-01-04 09:00:00,-3.7385864,1.6266632,-6.1212463,2.6923218
2024-01-04 10:00:00,-3.1389923,1.702713,-5.3819275,2.4660034
2024-01-04 11:00:00,-3.5516357,1.9951019,-6.235504,2.9115753
2024-01-04 12:00:00,-3.5829163,1.7596893,-6.269348,2.6726227
2024-01-04 13:00:00,-3.4951172,1.228241,-6.075165,1.9375
2024-01-04 14:00:00,-2.9734344,0.65693665,-4.876892,0.86128235
2024-01-04 15:00:00,-2.132431,0.13298035,-3.4138641,-0.09109497
2024-01-04 16:00:00,-1.6508942,-0.1539154,-2.632141,-0.4491577
2024-01-04 17:00:00,-1.5137634,0.032821655,-2.367813,-0.18598938
2024-01-04 18:00:00,-1.4503784,0.37947083,-2.4634857,0.17605591
2024-01-04 19:00:00,-1.3708649,0.6094818,-2.4433746,0.5576172
2024-01-04 20:00:00,-1.6526031,0.5611725,-2.4073029,0.44540405
2024-01-04 21:00:00,-1.6884766,0.46966553,-2.2523804,0.56425476
2024-01-04 22:00:00,-1.0190582,1.09021,-1.292572,1.4069061
2024-01-04 23:00:00,-1.1929779,1.4020996,-1.5319977,1.824234
2024-01-05 00:00:00,-1.4735718,1.6548309,-1.9049225,2.1373901
2024-01-05 01:00:00,-1.8200684,1.6990509,-2.4367218,2.18927
2024-01-05 02:00:00,-2.2080383,1.3730316,-2.936264,1.7498932
2024-01-05 03:00:00,-2.3007965,1.1116638,-3.0297394,1.3802032
2024-01-05 04:00:00,-2.669098,0.6417084,-3.4840546,0.79486084
2024-01-05 05:00:00,-3.2480164,0.33135986,-4.2622375,0.37460327
2024-01-05 06:00:00,-3.6185455,0.012924194,-4.8132324,-0.03857422
2024-01-05 07:00:00,-3.8250732,-0.21179199,-5.272934,-0.4074707
2024-01-05 08:00:00,-3.4760742,-0.34939575,-4.899704,-0.6274414
2024-01-05 09:00:00,-3.1224823,-0.29885864,-4.549408,-0.6033783
2024-01-05 10:00:00,-2.5684662,-0.22772217,-3.8194885,-0.5392761
2024-01-05 11:00:00,-2.2310486,-0.49116516,-3.3914795,-0.8666992
2024-01-05 12:00:00,-1.8616638,-0.83709717,-2.7022247,-1.20784
2024-01-05 13:00:00,-1.4765015,-1.050415,-2.1925964,-1.6651459
2024-01-05 14:00:00,-0.91329956,-1.3252106,-1.3757782,-2.2251587
2024-01-05 15:00:00,-0.64364624,-1.5585938,-0.83210754,-2.682785
2024-01-05 16:00:00,-0.89494324,-1.5578308,-1.1658478,-2.7947998
2024-01-05 17:00:00,-1.2484283,-1.5770264,-1.8049011,-2.8440552
2024-01-05 18:00:00,-1.162323,-1.5962982,-1.8335876,-2.9667053
2024-01-05 19:00:00,-0.5646515,-1.5248718,-0.97612,-3.4115295
2024-01-05 20:00:00,-0.78427124,-2.0491486,-0.9215851,-3.5965729
2024-01-05 21:00:00,-0.7130432,-2.3943024,-0.8842926,-3.332611
2024-01-05 22:00:00,-0.57225037,-2.7088165,-0.5858002,-3.6644592
2024-01-05 23:00:00,-1.0277405,-2.668274,-1.1925354,-3.5846558
2024-01-06 00:00:00,-1.349762,-2.422577,-1.6424255,-3.2261047
2024-01-06 01:00:00,-1.8179321,-1.7809906,-2.2276459,-2.4044495
2024-01-06 02:00:00,-2.3027496,-1.357254,-2.9068146,-1.8362885
2024-01-06 03:00:00,-1.8323822,-1.0870819,-2.2601318,-1.4848633
2024-01-06 04:00:00,-2.247589,-1.0995178,-2.856903,-1.4501648
2024-01-06 05:00:00,-3.3708801,-1.7320557,-4.4439697,-2.4366608
2024-01-06 06:00:00,-3.4081268,-2.5397186,-4.476654,-3.6211243
2024-01-06 07:00:00,-3.6161652,-2.8987427,-4.892029,-4.1970215
2024-01-06 08:00:00,-3.597168,-2.7845917,-5.0545654,-4.122452
2024-01-06 09:00:00,-3.2542877,-2.3238678,-4.838623,-3.6948853
2024-01-06 10:00:00,-2.7785797,-1.7193909,-4.3582916,-3.1177063
2024-01-06 11:00:00,-2.1083527,-1.8386841,-3.5077667,-3.4932404
2024-01-06 12:00:00,-1.6564636,-2.4434662,-2.8287964,-4.6263733
2024-01-06 13:00:00,-1.4051056,-2.9711456,-2.2253723,-5.6644135
2024-01-06 14:00:00,-0.97068787,-3.4181976,-1.3065796,-6.368866
2024-01-06 15:00:00,-1.0250397,-3.3237305,-1.1733704,-6.2717743
2024-01-06 16:00:00,-1.0319061,-3.3323364,-1.3945923,-6.1382446
2024-01-06 17:00:00,-0.81040955,-3.407837,-1.0349274,-6.300766
2024-01-06 18:00:00,-0.62745667,-3.495102,-0.7624817,-6.550537
2024-01-06 19:00:00,-0.47602844,-3.5293274,-0.5009918,-6.582077
2024-01-06 20:00:00,-0.16859436,-3.7523956,0.12594604,-6.543228
2024-01-06 21:00:00,-0.04978943,-3.7611694,0.21272278,-5.5030975
2024-01-06 22:00:00,-0.84806824,-3.682785,-1.1080933,-5.1625824
2024-01-06 23:00:00,-1.1783905,-3.9233398,-1.5203094,-5.4496155
2024-01-07 00:00:00,-1.673111,-4.158493,-2.1969452,-5.7064667
2024-01-07 01:00:00,-1.2944183,-4.496887,-1.5932007,-6.1645355
2024-01-07 02:00:00,-0.08425903,-4.8217773,0.14633179,-6.6853485
2024-01-07 03:00:00,1.7298431,-4.9022675,2.4706573,-6.7589874
2024-01-07 04:00:00,1.8019409,-4.6746063,2.620514,-6.536621
2024-01-07 05:00:00,1.3811798,-4.69281,2.1775055,-6.550766
2024-01-07 06:00:00,0.73695374,-4.2326813,1.2280426,-5.961334
2024-01-07 07:00:00,-0.63890076,-3.0082855,-0.8447418,-5.071594
2024-01-07 08:00:00,-0.93959045,-2.940796,-1.2593079,-4.9876556
2024-01-07 09:00:00,-1.2163391,-2.5703735,-1.5489502,-5.0514984
2024-01-07 10:00:00,-0.74461365,-3.2348022,-0.6212311,-6.0584564
2024-01-07 11:00:00,-0.6161194,-3.0637054,-0.9759064,-6.0968018
2024-01-07 12:00:00,-0.31053162,-3.1855774,-0.7728882,-6.6379395
2024-01-07 13:00:00,-0.16151428,-3.0798187,-0.56248474,-6.681793
2024-01-07 14:00:00,-0.017990112,-3.2012787,-0.2887268,-6.838608
2024-01-07 15:00:00,0.22361755,-3.469696,0.45324707,-7.155533
2024-01-07 16:00:00,-0.0059051514,-3.4917297,0.27633667,-7.009613
2024-01-07 17:00:00,-0.21865845,-4.819229,0.051727295,-8.618195
2024-01-07 18:00:00,0.67578125,-5.2642517,1.5205383,-9.059143
2024-01-07 19:00:00,0.7233124,-4.5312347,1.800003,-7.927307
2024-01-07 20:00:00,0.55407715,-4.0949707,1.5263214,-7.2608643
2024-01-07 21:00:00,0.6092224,-3.7563782,1.6125793,-6.575714
2024-01-07 22:00:00,1.0211029,-4.0938263,2.3856964,-6.7743073
2024-01-07 23:00:00,1.7279205,-4.4712524,2.8560333,-6.7012024
